img1,img2,score,decision
86253.jpg,2639.jpg,0.9197263717651367,same
86253.jpg,78965.jpg,0.8978834748268127,same
86253.jpg,1328.jpg,0.9420650601387024,same
86253.jpg,76485.jpg,0.9149958491325378,same
86253.jpg,42435.jpg,0.9475789070129395,same
86253.jpg,33856.jpg,0.9011500477790833,same
86253.jpg,1761.jpg,0.9246200323104858,same
86253.jpg,60980.jpg,0.9365450143814087,same
86253.jpg,55905.jpg,0.9335528016090393,same
86253.jpg,31357.jpg,0.9440253376960754,same
86253.jpg,83702.jpg,0.9548057317733765,same
86253.jpg,80937.jpg,0.9371131658554077,same
86253.jpg,45594.jpg,0.8959483504295349,same
86253.jpg,7787.jpg,0.9353384971618652,same
86253.jpg,44262.jpg,0.9573850631713867,same
86253.jpg,56188.jpg,0.9362106919288635,same
86253.jpg,856.jpg,0.9283783435821533,same
86253.jpg,86249.jpg,0.9533450603485107,same
86253.jpg,3911.jpg,0.8730818629264832,same
2639.jpg,78965.jpg,0.8791120052337646,same
2639.jpg,1328.jpg,0.9584837555885315,same
2639.jpg,76485.jpg,0.890678346157074,same
2639.jpg,42435.jpg,0.9139379262924194,same
2639.jpg,33856.jpg,0.9037659764289856,same
2639.jpg,1761.jpg,0.9177542328834534,same
2639.jpg,60980.jpg,0.9350196719169617,same
2639.jpg,55905.jpg,0.9068246483802795,same
2639.jpg,31357.jpg,0.9405972957611084,same
2639.jpg,83702.jpg,0.9245139360427856,same
2639.jpg,80937.jpg,0.9433716535568237,same
2639.jpg,45594.jpg,0.9053886532783508,same
2639.jpg,7787.jpg,0.9166104793548584,same
2639.jpg,44262.jpg,0.921330988407135,same
2639.jpg,56188.jpg,0.9308062195777893,same
2639.jpg,856.jpg,0.9210218787193298,same
2639.jpg,86249.jpg,0.9317317605018616,same
2639.jpg,3911.jpg,0.8790431618690491,same
78965.jpg,1328.jpg,0.9111558794975281,same
78965.jpg,76485.jpg,0.939249575138092,same
78965.jpg,42435.jpg,0.9164419770240784,same
78965.jpg,33856.jpg,0.9393796920776367,same
78965.jpg,1761.jpg,0.9279845356941223,same
78965.jpg,60980.jpg,0.89463210105896,same
78965.jpg,55905.jpg,0.928447425365448,same
78965.jpg,31357.jpg,0.9025299549102783,same
78965.jpg,83702.jpg,0.9185134768486023,same
78965.jpg,80937.jpg,0.9282591938972473,same
78965.jpg,45594.jpg,0.8993014097213745,same
78965.jpg,7787.jpg,0.934364378452301,same
78965.jpg,44262.jpg,0.894171416759491,same
78965.jpg,56188.jpg,0.9110914468765259,same
78965.jpg,856.jpg,0.9028015732765198,same
78965.jpg,86249.jpg,0.9337257146835327,same
78965.jpg,3911.jpg,0.9280972480773926,same
1328.jpg,76485.jpg,0.9262748956680298,same
1328.jpg,42435.jpg,0.9425327181816101,same
1328.jpg,33856.jpg,0.9192863702774048,same
1328.jpg,1761.jpg,0.9403637051582336,same
1328.jpg,60980.jpg,0.9592851400375366,same
1328.jpg,55905.jpg,0.9344010949134827,same
1328.jpg,31357.jpg,0.9588812589645386,same
1328.jpg,83702.jpg,0.95149165391922,same
1328.jpg,80937.jpg,0.9549936652183533,same
1328.jpg,45594.jpg,0.9267337322235107,same
1328.jpg,7787.jpg,0.9428153038024902,same
1328.jpg,44262.jpg,0.9443376660346985,same
1328.jpg,56188.jpg,0.9434323310852051,same
1328.jpg,856.jpg,0.9465070962905884,same
1328.jpg,86249.jpg,0.9544995427131653,same
1328.jpg,3911.jpg,0.9050447940826416,same
76485.jpg,42435.jpg,0.9323388934135437,same
76485.jpg,33856.jpg,0.9329314827919006,same
76485.jpg,1761.jpg,0.9277893304824829,same
76485.jpg,60980.jpg,0.9145107865333557,same
76485.jpg,55905.jpg,0.9380172491073608,same
76485.jpg,31357.jpg,0.9166810512542725,same
76485.jpg,83702.jpg,0.9215885400772095,same
76485.jpg,80937.jpg,0.9397279620170593,same
76485.jpg,45594.jpg,0.9243836402893066,same
76485.jpg,7787.jpg,0.9376646280288696,same
76485.jpg,44262.jpg,0.9166815876960754,same
76485.jpg,56188.jpg,0.9500970840454102,same
76485.jpg,856.jpg,0.9135053753852844,same
76485.jpg,86249.jpg,0.9424405097961426,same
76485.jpg,3911.jpg,0.9369245767593384,same
42435.jpg,33856.jpg,0.9024233818054199,same
42435.jpg,1761.jpg,0.9395579099655151,same
42435.jpg,60980.jpg,0.9521074891090393,same
42435.jpg,55905.jpg,0.9384196400642395,same
42435.jpg,31357.jpg,0.9430615901947021,same
42435.jpg,83702.jpg,0.9285210967063904,same
42435.jpg,80937.jpg,0.9441155195236206,same
42435.jpg,45594.jpg,0.9317693710327148,same
42435.jpg,7787.jpg,0.9299061894416809,same
42435.jpg,44262.jpg,0.9389030933380127,same
42435.jpg,56188.jpg,0.9432649612426758,same
42435.jpg,856.jpg,0.9375302791595459,same
42435.jpg,86249.jpg,0.9526505470275879,same
42435.jpg,3911.jpg,0.9047818183898926,same
33856.jpg,1761.jpg,0.913903534412384,same
33856.jpg,60980.jpg,0.8907137513160706,same
33856.jpg,55905.jpg,0.929607093334198,same
33856.jpg,31357.jpg,0.9086390137672424,same
33856.jpg,83702.jpg,0.9027907252311707,same
33856.jpg,80937.jpg,0.926703691482544,same
33856.jpg,45594.jpg,0.9225494265556335,same
33856.jpg,7787.jpg,0.933515727519989,same
33856.jpg,44262.jpg,0.8844631314277649,same
33856.jpg,56188.jpg,0.9196369051933289,same
33856.jpg,856.jpg,0.9139876365661621,same
33856.jpg,86249.jpg,0.9293530583381653,same
33856.jpg,3911.jpg,0.9198120832443237,same
1761.jpg,60980.jpg,0.9454286694526672,same
1761.jpg,55905.jpg,0.9543725252151489,same
1761.jpg,31357.jpg,0.9370121955871582,same
1761.jpg,83702.jpg,0.9296622276306152,same
1761.jpg,80937.jpg,0.9542354941368103,same
1761.jpg,45594.jpg,0.928237795829773,same
1761.jpg,7787.jpg,0.9336135983467102,same
1761.jpg,44262.jpg,0.9244790077209473,same
1761.jpg,56188.jpg,0.9269486665725708,same
1761.jpg,856.jpg,0.9407690763473511,same
1761.jpg,86249.jpg,0.9402052760124207,same
1761.jpg,3911.jpg,0.9314950704574585,same
60980.jpg,55905.jpg,0.9226547479629517,same
60980.jpg,31357.jpg,0.960298478603363,same
60980.jpg,83702.jpg,0.9368659853935242,same
60980.jpg,80937.jpg,0.9513596296310425,same
60980.jpg,45594.jpg,0.9176686406135559,same
60980.jpg,7787.jpg,0.9213926196098328,same
60980.jpg,44262.jpg,0.9435659646987915,same
60980.jpg,56188.jpg,0.949685275554657,same
60980.jpg,856.jpg,0.9548622369766235,same
60980.jpg,86249.jpg,0.9381751418113708,same
60980.jpg,3911.jpg,0.8927869200706482,same
55905.jpg,31357.jpg,0.9270985126495361,same
55905.jpg,83702.jpg,0.9387074112892151,same
55905.jpg,80937.jpg,0.9452338218688965,same
55905.jpg,45594.jpg,0.9263849258422852,same
55905.jpg,7787.jpg,0.9491644501686096,same
55905.jpg,44262.jpg,0.9394848942756653,same
55905.jpg,56188.jpg,0.9335811138153076,same
55905.jpg,856.jpg,0.9237459897994995,same
55905.jpg,86249.jpg,0.9499715566635132,same
55905.jpg,3911.jpg,0.9222099781036377,same
31357.jpg,83702.jpg,0.9340308904647827,same
31357.jpg,80937.jpg,0.9419008493423462,same
31357.jpg,45594.jpg,0.9217996597290039,same
31357.jpg,7787.jpg,0.9387575387954712,same
31357.jpg,44262.jpg,0.943151593208313,same
31357.jpg,56188.jpg,0.9328689575195312,same
31357.jpg,856.jpg,0.9451066255569458,same
31357.jpg,86249.jpg,0.9337711930274963,same
31357.jpg,3911.jpg,0.9071956872940063,same
83702.jpg,80937.jpg,0.9452701807022095,same
83702.jpg,45594.jpg,0.8921135067939758,same
83702.jpg,7787.jpg,0.958079993724823,same
83702.jpg,44262.jpg,0.9753085374832153,same
83702.jpg,56188.jpg,0.932564914226532,same
83702.jpg,856.jpg,0.9175516963005066,same
83702.jpg,86249.jpg,0.9596794843673706,same
83702.jpg,3911.jpg,0.8843681812286377,same
80937.jpg,45594.jpg,0.9236596822738647,same
80937.jpg,7787.jpg,0.9430696964263916,same
80937.jpg,44262.jpg,0.9357613921165466,same
80937.jpg,56188.jpg,0.9546477794647217,same
80937.jpg,856.jpg,0.9439328908920288,same
80937.jpg,86249.jpg,0.9589595198631287,same
80937.jpg,3911.jpg,0.9216444492340088,same
45594.jpg,7787.jpg,0.8956425189971924,same
45594.jpg,44262.jpg,0.8900434970855713,same
45594.jpg,56188.jpg,0.9118601083755493,same
45594.jpg,856.jpg,0.9185377359390259,same
45594.jpg,86249.jpg,0.9127660393714905,same
45594.jpg,3911.jpg,0.9349820613861084,same
7787.jpg,44262.jpg,0.9488517045974731,same
7787.jpg,56188.jpg,0.9301148653030396,same
7787.jpg,856.jpg,0.9177221655845642,same
7787.jpg,86249.jpg,0.9632191061973572,same
7787.jpg,3911.jpg,0.9146924614906311,same
44262.jpg,56188.jpg,0.9279018640518188,same
44262.jpg,856.jpg,0.9097679257392883,same
44262.jpg,86249.jpg,0.9549470543861389,same
44262.jpg,3911.jpg,0.8762499690055847,same
56188.jpg,856.jpg,0.944571852684021,same
56188.jpg,86249.jpg,0.9447354078292847,same
56188.jpg,3911.jpg,0.9134466052055359,same
856.jpg,86249.jpg,0.9252976775169373,same
856.jpg,3911.jpg,0.9070877432823181,same
86249.jpg,3911.jpg,0.9060954451560974,same
